Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Phil Argento,1969,10,139,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Barnstable,1950,7,73,,,,,,,,,,,,,,,,,,,,,,,,,
Dicky Beal,1984,4,81,,,,,,,,,,,,,,,,,,,,,,,,,
Cliff Berger,1968,9,119,,,,,,,,,,,,,,,,,,,,,,,,,
James Blackmon,1987,5,94,,,,,,,,,,,,,,,,,,,,,,,,,
Gerry Calvert,1957,10,73,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Casey,"1970, 1971","8, 11","130, 169",,,,,,,,,,,,,,,,,,,,,,,,,
Truman Claytor,1979,6,111,,,,,,,,,,,,,,,,,,,,,,,,,
Bennie Coffman,1960,7,53,,,,,,,,,,,,,,,,,,,,,,,,,
Sid Cohen,1960,4,32,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Cowan,1981,6,127,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Davender,1988,3,60,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Dent,1994,2,31,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Dinwiddie,1971,10,163,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Evans,1955,5,34,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Grawemeyer,1956,10,73,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Guyette,1975,3,49,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Harden,1986,5,115,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Heitz,1984,8,163,,,,,,,,,,,,,,,,,,,,,,,,,
Kent Hollenbeck,1972,10,146,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Hord,1983,3,67,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Hurt,1983,6,134,,,,,,,,,,,,,,,,,,,,,,,,,
Thad Jaracz,1968,5,60,,,,,,,,,,,,,,,,,,,,,,,,,
Ned Jennings,1961,13,102,,,,,,,,,,,,,,,,,,,,,,,,,
James Lee,1978,2,39,,,,,,,,,,,,,,,,,,,,,,,,,
